Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17202-14696,QB,Scott,,Tolzien,5.46999979,2,6000,HOU@IND,IND,HOU,,
17202-21959,QB,Brandon,,Weeden,11.40333303,6,6000,HOU@IND,HOU,IND,,
17202-22994,QB,Case,,Keenum,13.42888896,9,6000,ATL@LA,LA,ATL,,
17202-6639,QB,Tony,,Romo,11.91499996,4,6000,DAL@NYG,DAL,NYG,,
17202-6679,QB,Matt,,Schaub,-0.200000003,1,6000,ATL@LA,ATL,LA,,
17202-7744,QB,Drew,,Stanton,3.265000105,4,6000,ARI@MIA,ARI,MIA,,
17202-7778,QB,Matt,,Cassel,0.25,2,6000,DEN@TEN,TEN,DEN,,
17202-6844,QB,Shaun,,Hill,5.239999771,2,6000,MIN@JAC,MIN,JAC,,
17202-7872,QB,Brian,,Hoyer,13.26666641,6,6000,CHI@DET,CHI,DET,IR,Forearm
17202-32514,QB,Trevone,,Boykin,2.173333327,3,6000,SEA@GB,SEA,GB,,
17202-27405,QB,Landry,,Jones,2.306666692,6,6000,PIT@BUF,PIT,BUF,,
17202-7970,QB,Charlie,,Whitehurst,10.38000011,1,6000,CIN@CLE,CLE,CIN,,
17202-25410,QB,Mike,,Glennon,9,1,6000,NO@TB,TB,NO,,
17202-29587,QB,Cody,,Kessler,9.819999695,8,6000,CIN@CLE,CLE,CIN,,
17202-31047,QB,AJ,,McCarron,8.17999976,7,5900,CIN@CLE,CIN,CLE,,
17202-11500,QB,Colt,,McCoy,8.819999695,1,5500,WAS@PHI,WAS,PHI,,
17202-22848,QB,Austin,,Davis,7.393333435,3,5500,DEN@TEN,DEN,TEN,,
17202-6808,QB,Matt,,Moore,0.360000014,1,5500,ARI@MIA,MIA,ARI,,
17202-7844,QB,Chad,,Henne,-0.200000003,1,5500,MIN@JAC,JAC,MIN,,
17202-14198,QB,Christian,,Ponder,0,0,5200,NYJ@SF,SF,NYJ,,
17202-53331,QB,Taylor,,Heinicke,0,0,5000,MIN@JAC,MIN,JAC,,
17202-27801,QB,Nate,,Sudfeld,0,0,5000,WAS@PHI,WAS,PHI,,
17202-29915,QB,Brett,,Hundley,-0.159999996,2,5000,SEA@GB,GB,SEA,,
17202-6373,QB,Derek,,Anderson,5.380000114,4,5000,SD@CAR,CAR,SD,,
17202-26877,QB,Jake,,Heaps,0,0,5000,SEA@GB,SEA,GB,,
17202-27982,QB,Jake,,Rudock,0,0,5000,CHI@DET,DET,CHI,,
17202-11615,QB,Joe,,Webb,0.200000003,4,5000,SD@CAR,CAR,SD,,
17202-25969,QB,Tom,,Savage,0,0,5000,HOU@IND,HOU,IND,,
17202-24949,QB,EJ,,Manuel,1.699999968,3,5000,PIT@BUF,BUF,PIT,,
17202-54705,QB,Dustin,,Vaughan,0,0,5000,PIT@BUF,PIT,BUF,,
17202-31170,QB,Brandon,,Allen,0,0,5000,MIN@JAC,JAC,MIN,,
17202-44500,QB,Keith,,Wenning,0,0,5000,CIN@CLE,CIN,CLE,,
17202-70127,QB,Griffin,,Neal,0,0,5000,NO@TB,NO,TB,,
17202-26141,QB,Ryan,,Nassib,6.71999979,1,5000,DAL@NYG,NYG,DAL,,
17202-6687,QB,Mark,,Sanchez,0.119999997,1,5000,DAL@NYG,DAL,NYG,,
17202-23075,QB,Alex,,Tanney,7.960000038,1,5000,DEN@TEN,TEN,DEN,,
17202-30253,QB,Jeff,,Driskel,0,0,5000,CIN@CLE,CIN,CLE,,
17202-8803,QB,Chase,,Daniel,-0.02,2,5000,WAS@PHI,PHI,WAS,,
17202-32366,QB,Jameill,,Showers,0,0,5000,DAL@NYG,DAL,NYG,,
17202-34459,QB,B.J.,,Daniels,0.920000017,4,5000,CHI@DET,CHI,DET,,
17202-47772,QB,Brandon,,Doughty,0,0,5000,ARI@MIA,MIA,ARI,,
17202-31421,QB,Zach,,Mettenberger,7.028571538,7,5000,PIT@BUF,PIT,BUF,,
17202-45797,QB,Garrett,,Grayson,0,1,5000,NO@TB,NO,TB,,
17202-7919,QB,Kellen,,Clemens,-0.100000001,1,5000,SD@CAR,SD,CAR,,
17202-26355,QB,Logan,,Thomas,0,0,5000,PIT@BUF,BUF,PIT,,
17202-41732,QB,Christian,,Hackenberg,0,0,5000,NYJ@SF,NYJ,SF,,
17202-29445,QB,Sean,,Mannion,1.24000001,1,5000,ATL@LA,LA,ATL,,
17202-70446,QB,Joe,,Callahan,0,0,5000,SEA@GB,GB,SEA,,
17202-70464,QB,Josh,,Woodrum,0,0,5000,CHI@DET,CHI,DET,,
17202-8023,QB,Josh,,Johnson,0,0,5000,DAL@NYG,NYG,DAL,,
17202-28515,QB,Cardale,,Jones,0,0,5000,PIT@BUF,BUF,PIT,,
17202-8051,QB,Luke,,McCown,6.199999809,2,5000,NO@TB,NO,TB,,
17202-8071,QB,Dan,,Orlovsky,5.519999981,2,5000,CHI@DET,DET,CHI,,
17202-33702,QB,Ryan,,Griffin,0,0,5000,NO@TB,TB,NO,,
17202-43956,QB,David,,Fales,0,0,5000,CHI@DET,CHI,DET,,
17202-62497,RB,David,,Johnson,24.24166616,12,9700,ARI@MIA,ARI,MIA,,
17202-28181,RB,Le'Veon,,Bell,20.81111145,9,9000,PIT@BUF,PIT,BUF,,
17202-38791,RB,Ezekiel,,Elliott,20.89166641,12,8500,DAL@NYG,DAL,NYG,,
17202-6779,RB,LeSean,,McCoy,18,11,8300,PIT@BUF,BUF,PIT,,
17202-28900,RB,Melvin,,Gordon,19.13333384,12,8200,SD@CAR,SD,CAR,,
17202-14254,RB,DeMarco,,Murray,18.84166718,12,7900,DEN@TEN,TEN,DEN,,
17202-42142,RB,Jordan,,Howard,14.31818182,11,7800,CHI@DET,CHI,DET,,
17202-6899,RB,Matt,,Forte,13.70833333,12,7700,NYJ@SF,NYJ,SF,,
17202-24920,RB,Devonta,,Freeman,15.23333359,12,7500,ATL@LA,ATL,LA,,
17202-21970,RB,Doug,,Martin,9.799999873,6,7300,NO@TB,TB,NO,Q,Undisclosed
17202-22037,RB,Lamar,,Miller,11.75,12,7200,HOU@IND,HOU,IND,,
17202-46882,RB,Jay,,Ajayi,13.91818237,11,7200,ARI@MIA,MIA,ARI,,
17202-14211,RB,Mark,,Ingram,13.30833308,12,7100,NO@TB,NO,TB,,
17202-31397,RB,Jeremy,,Hill,10.97499975,12,6900,CIN@CLE,CIN,CLE,,
17202-30447,RB,Todd,,Gurley,10.90833282,12,6900,ATL@LA,LA,ATL,,
17202-28473,RB,Carlos,,Hyde,13.41999969,10,6900,NYJ@SF,SF,NYJ,,
17202-39580,RB,Devontae,,Booker,7.400000254,12,6600,DEN@TEN,DEN,TEN,,
17202-28095,RB,Thomas,,Rawls,9.6,5,6500,SEA@GB,SEA,GB,,
17202-6703,RB,Adrian,,Peterson,3.349999905,2,6500,MIN@JAC,MIN,JAC,IR,Knee - meniscus
